,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4681077,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-30,-30.0,4.0,8.0,-47.0,-32.0,16.0,2020-04-30
4681078,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-01,-35.0,1.0,4.0,-50.0,-35.0,19.0,2020-05-01
4681079,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-02,-43.0,-5.0,-11.0,-55.0,-30.0,15.0,2020-05-02
4681080,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-03,-45.0,-9.0,-19.0,-58.0,-30.0,12.0,2020-05-03
4681081,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-04,-28.0,-6.0,4.0,-67.0,-73.0,29.0,2020-05-04
4681082,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-05,-23.0,0.0,29.0,-65.0,-73.0,29.0,2020-05-05
4681083,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-06,-36.0,-12.0,-17.0,-69.0,-72.0,30.0,2020-05-06
4681084,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-07,-31.0,1.0,3.0,-44.0,-26.0,14.0,2020-05-07
4681085,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-08,-34.0,0.0,6.0,-45.0,-27.0,16.0,2020-05-08
4681086,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-05-09,-39.0,-5.0,-20.0,-51.0,-20.0,13.0,2020-05-09
