,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
5679192,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-26,-63.0,-48.0,-42.0,-57.0,-26.0,17.0,2020-04-26
5679193,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-27,-58.0,-43.0,-32.0,-53.0,-45.0,21.0,2020-04-27
5679194,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-28,-57.0,-43.0,-30.0,-50.0,-43.0,18.0,2020-04-28
5679195,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-29,-58.0,-44.0,-31.0,-50.0,-42.0,19.0,2020-04-29
5679196,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-30,-57.0,-43.0,-30.0,-50.0,-42.0,19.0,2020-04-30
5679197,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-01,-63.0,-48.0,-37.0,-57.0,-61.0,22.0,2020-05-01
5679198,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-02,-59.0,-41.0,-34.0,-51.0,-37.0,17.0,2020-05-02
5679199,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-03,-58.0,-42.0,-36.0,-52.0,-20.0,13.0,2020-05-03
5679200,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-04,-51.0,-35.0,-25.0,-47.0,-39.0,17.0,2020-05-04
5679201,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-05,-53.0,-37.0,-26.0,-47.0,-40.0,17.0,2020-05-05
5679202,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-06,-52.0,-35.0,-28.0,-44.0,-39.0,17.0,2020-05-06
5679203,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-07,-51.0,-35.0,-29.0,-45.0,-38.0,18.0,2020-05-07
5679204,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-08,-56.0,-39.0,-33.0,-49.0,-41.0,19.0,2020-05-08
5679205,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-09,-52.0,-34.0,-32.0,-45.0,-30.0,16.0,2020-05-09
5679206,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-10,-51.0,-35.0,-34.0,-46.0,-13.0,12.0,2020-05-10
5679207,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-11,-38.0,-22.0,-21.0,-38.0,-32.0,15.0,2020-05-11
5679208,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-12,-38.0,-23.0,-17.0,-37.0,-32.0,15.0,2020-05-12
5679209,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-13,-39.0,-25.0,-18.0,-37.0,-31.0,14.0,2020-05-13
5679210,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-14,-37.0,-23.0,-20.0,-38.0,-34.0,14.0,2020-05-14
5679211,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-15,-53.0,-36.0,-26.0,-45.0,-42.0,18.0,2020-05-15
5679212,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-16,-53.0,-35.0,-28.0,-44.0,-30.0,16.0,2020-05-16
5679213,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-17,-52.0,-37.0,-33.0,-47.0,-13.0,13.0,2020-05-17
5679214,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-18,-24.0,-7.0,-10.0,-29.0,-30.0,14.0,2020-05-18
5679215,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-19,-28.0,-13.0,-14.0,-30.0,-30.0,13.0,2020-05-19
5679216,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-20,-30.0,-14.0,-14.0,-29.0,-31.0,14.0,2020-05-20
5679217,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-21,-26.0,-9.0,-14.0,-26.0,-33.0,13.0,2020-05-21
5679218,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-22,-27.0,-6.0,-15.0,-28.0,-49.0,16.0,2020-05-22
5679219,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-23,-19.0,5.0,-11.0,-19.0,-40.0,14.0,2020-05-23
5679220,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-24,-36.0,-35.0,-5.0,-30.0,-30.0,6.0,2020-05-24
5679221,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-25,-39.0,-37.0,-5.0,-33.0,-70.0,16.0,2020-05-25
5679222,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-26,-40.0,-36.0,-7.0,-31.0,-66.0,14.0,2020-05-26
5679223,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-27,-38.0,-30.0,-10.0,-27.0,-58.0,14.0,2020-05-27
5679224,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-28,-33.0,-21.0,-10.0,-26.0,-34.0,11.0,2020-05-28
5679225,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-29,-38.0,-25.0,-12.0,-30.0,-33.0,13.0,2020-05-29
5679226,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-30,-36.0,-21.0,-15.0,-27.0,-21.0,10.0,2020-05-30
5679227,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-05-31,-35.0,-23.0,-18.0,-27.0,-2.0,8.0,2020-05-31
5679228,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-01,-24.0,-10.0,-5.0,-21.0,-23.0,10.0,2020-06-01
5679229,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-02,-28.0,-15.0,-7.0,-23.0,-23.0,10.0,2020-06-02
5679230,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-03,-30.0,-16.0,-9.0,-23.0,-23.0,10.0,2020-06-03
5679231,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-04,-30.0,-16.0,-11.0,-25.0,-24.0,11.0,2020-06-04
5679232,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-05,-35.0,-18.0,-13.0,-28.0,-24.0,12.0,2020-06-05
5679233,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-06,-47.0,-29.0,-21.0,-34.0,-29.0,13.0,2020-06-06
5679234,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-07,-46.0,-32.0,-23.0,-36.0,-15.0,10.0,2020-06-07
5679235,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-08,-22.0,-6.0,-6.0,-20.0,-23.0,10.0,2020-06-08
5679236,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-09,-29.0,-14.0,-9.0,-24.0,-24.0,10.0,2020-06-09
5679237,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-10,-30.0,-16.0,-10.0,-24.0,-24.0,11.0,2020-06-10
5679238,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-11,-29.0,-15.0,-12.0,-26.0,-24.0,11.0,2020-06-11
5679239,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-12,-33.0,-17.0,-13.0,-28.0,-24.0,12.0,2020-06-12
5679240,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-13,-46.0,-29.0,-21.0,-34.0,-28.0,13.0,2020-06-13
5679241,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-14,-46.0,-33.0,-23.0,-37.0,-14.0,10.0,2020-06-14
5679242,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-06-15,-22.0,-7.0,-5.0,-22.0,-23.0,10.0,2020-06-15
